daily_pnl_sum,daily_pnl_mean,daily_pnl_std,daily_pnl_p10,total_volume,avg_trade_size,win_rate,side_share_BUY,side_share_SELL,classification,value,date
0.0,0.0,0.0,0.0,477.0,159.0,0.0,1.0,0.0,Greed,59.0,2023-03-28
155.50335699999994,0.1488070401913875,105.09211259633246,-11.731190799999995,11555429.76,11057.8275215311,0.27464114832535885,0.4698564593301435,0.5301435406698565,Greed,69.0,2023-11-14
176965.491774,25.418772159436944,306.1669373872389,-0.27786329999999987,39406770.25,5660.265764148233,0.49008905486929044,0.4841999425452456,0.5158000574547544,Extreme Greed,84.0,2024-03-09
158742.378078,22.229712656210616,633.7048150995175,0.0,21843234.35,3058.8481095084726,0.3171824674415348,0.4908276151799468,0.5091723848200532,Neutral,50.0,2024-07-03
3189461.032019,90.50427150248291,1165.0525484112814,0.0,103947765.09,2949.6258644760364,0.4516046650208564,0.4235691382196873,0.5764308617803127,Greed,74.0,2024-10-27
6699925.190574,50.047621894017375,909.1217956801771,0.0,704158492.98,5259.977836723413,0.41514592406122314,0.49361698948988203,0.5063830105101179,Fear,44.0,2025-02-19
71709.347634,2.6597436161121624,777.9494703909266,-7.183728,310275273.03,11508.299878713697,0.34917102481361967,0.5310633878565335,0.4689366121434665,,,2025-06-15
